customer_id,visit_date,device_type,user_type,marketing_channel,product_id,product_category,unit_price,quantity,discount_percent,discount_amount,revenue,pages_viewed,time_on_site_sec,added_to_cart,purchased,cart_abandoned,rating,review_helpful_votes,payment_method,visit_month,visit_season,session_duration_bucket,location,device_name,user_type_name,channel_name,category_name,payment_name,season_name
1803,2024-11-28,2,1,2,894,6,651.57,1,20,130.31,0.0,21,965,1,0,1,4,0,1,11,0,Long,209,Tablet,Returning User,Email,Toys,Debit Card,Winter
7964,2024-09-25,2,0,4,844,2,945.27,4,15,567.16,0.0,21,1158,0,0,0,4,0,2,9,0,Long,213,Tablet,New User,Referral,Home & Kitchen,UPI,Winter
6890,2024-05-31,1,1,0,865,0,400.44,4,0,0.0,0.0,19,710,1,0,1,4,0,2,5,1,Short,10,Mobile,Returning User,Organic Search,Electronics,UPI,Spring
4949,2024-01-30,1,0,2,851,3,1268.54,2,5,126.85,2410.23,19,1674,1,1,0,4,4,1,1,3,Very Long,46,Mobile,New User,Email,Sports,Debit Card,Autumn
4896,2024-02-25,1,1,5,794,3,880.81,3,0,0.0,0.0,13,427,1,0,1,4,0,1,2,3,Very Short,118,Mobile,Returning User,Direct,Sports,Debit Card,Autumn
8726,2024-03-29,1,0,4,481,3,458.42,2,10,91.68,0.0,6,949,1,0,1,4,0,1,3,1,Long,207,Mobile,New User,Referral,Sports,Debit Card,Spring
1773,2024-05-28,0,1,1,634,0,623.83,4,0,0.0,2495.32,15,1608,1,1,0,4,0,5,5,1,Very Long,175,Desktop,Returning User,Paid Search,Electronics,COD,Spring
7275,2024-11-19,1,0,4,225,6,1491.56,3,15,671.2,0.0,24,1169,0,0,0,4,0,4,11,0,Long,150,Mobile,New User,Referral,Toys,Wallet,Winter
2813,2024-02-13,1,1,3,628,2,791.88,2,0,0.0,0.0,18,285,1,0,1,4,0,2,2,3,Very Short,141,Mobile,Returning User,Social Media,Home & Kitchen,UPI,Autumn
1847,2024-07-29,1,0,4,664,7,164.42,4,10,65.77,0.0,6,476,1,0,1,4,0,1,7,2,Short,103,Mobile,New User,Referral,Grocery,Debit Card,Summer
5737,2024-05-06,0,1,2,386,4,318.62,4,10,127.45,0.0,8,1557,0,0,0,4,0,1,5,1,Very Long,84,Desktop,Returning User,Email,Books,Debit Card,Spring
9779,2024-01-18,0,1,0,594,4,103.54,2,20,41.42,0.0,24,1724,1,0,1,4,0,3,1,3,Very Long,145,Desktop,Returning User,Organic Search,Books,Net Banking,Autumn
7621,2024-08-14,1,0,4,379,6,373.33,4,5,74.67,0.0,4,309,0,0,0,4,0,5,8,2,Very Short,169,Mobile,New User,Referral,Toys,COD,Summer
7849,2024-09-14,0,0,5,786,7,682.23,1,10,68.22,0.0,5,1273,0,0,0,4,0,4,9,0,Long,155,Desktop,New User,Direct,Grocery,Wallet,Winter
7456,2024-12-16,0,1,0,175,2,837.89,2,25,418.94,0.0,5,1462,0,0,0,4,0,5,12,3,Very Long,167,Desktop,Returning User,Organic Search,Home & Kitchen,COD,Autumn
8073,2024-07-03,1,1,3,766,7,1151.07,2,15,345.32,0.0,16,143,0,0,0,4,0,2,7,2,Very Short,135,Mobile,Returning User,Social Media,Grocery,UPI,Summer
5618,2024-04-28,1,1,2,691,0,693.68,1,0,0.0,0.0,10,180,1,0,1,4,0,0,4,1,Very Short,85,Mobile,Returning User,Email,Electronics,Credit Card,Spring
2152,2024-11-07,0,0,3,250,1,481.83,4,0,0.0,0.0,19,1019,1,0,1,4,0,4,11,0,Long,51,Desktop,New User,Social Media,Clothing,Wallet,Winter
8556,2024-03-31,0,1,1,145,7,687.69,1,0,0.0,0.0,1,200,1,0,1,4,0,3,3,1,Very Short,25,Desktop,Returning User,Paid Search,Grocery,Net Banking,Spring
5053,2024-09-06,1,0,0,525,3,806.73,3,0,0.0,0.0,18,1168,0,0,0,4,0,0,9,0,Long,194,Mobile,New User,Organic Search,Sports,Credit Card,Winter
5502,2024-12-10,2,0,4,842,6,1374.55,4,15,824.73,0.0,21,1781,1,0,1,4,0,2,12,3,Very Long,155,Tablet,New User,Referral,Toys,UPI,Autumn
4336,2024-01-02,1,1,4,394,1,361.79,4,0,0.0,0.0,18,720,1,0,1,4,0,2,1,3,Short,197,Mobile,Returning User,Referral,Clothing,UPI,Autumn
2642,2024-12-03,1,1,5,237,7,557.98,1,15,83.7,0.0,17,1526,1,0,1,4,0,2,12,3,Very Long,145,Mobile,Returning User,Direct,Grocery,UPI,Autumn
9339,2024-03-16,0,0,2,835,2,799.51,1,10,79.95,719.56,22,943,1,1,0,5,16,2,3,1,Long,88,Desktop,New User,Email,Home & Kitchen,UPI,Spring
8033,2024-06-24,1,1,2,567,3,853.62,2,20,341.45,0.0,9,26,1,0,1,4,0,4,6,2,Very Short,40,Mobile,Returning User,Email,Sports,Wallet,Summer
6794,2024-04-04,1,0,4,367,7,667.9,1,5,33.4,634.5,8,1454,1,1,0,5,8,2,4,1,Very Long,135,Mobile,New User,Referral,Grocery,UPI,Spring
4621,2024-02-22,1,0,3,376,0,927.81,2,20,371.12,0.0,9,1105,1,0,1,4,0,3,2,3,Long,136,Mobile,New User,Social Media,Electronics,Net Banking,Autumn
8404,2024-09-13,1,1,0,57,1,161.8,3,10,48.54,0.0,7,604,0,0,0,4,0,3,9,0,Short,36,Mobile,Returning User,Organic Search,Clothing,Net Banking,Winter
5908,2024-06-24,0,1,3,750,6,1159.83,4,0,0.0,0.0,11,1396,1,0,1,4,0,4,6,2,Very Long,62,Desktop,Returning User,Social Media,Toys,Wallet,Summer
4990,2024-07-04,0,1,1,440,7,1014.28,1,0,0.0,0.0,1,1503,1,0,1,4,0,4,7,2,Very Long,215,Desktop,Returning User,Paid Search,Grocery,Wallet,Summer
5053,2024-06-25,1,1,5,722,1,511.8,4,10,204.72,0.0,12,169,1,0,1,4,0,0,6,2,Very Short,31,Mobile,Returning User,Direct,Clothing,Credit Card,Summer
3044,2024-09-29,0,0,1,207,4,180.12,2,20,72.05,0.0,16,526,1,0,1,4,0,0,9,0,Short,20,Desktop,New User,Paid Search,Books,Credit Card,Winter
1829,2024-12-18,1,0,1,72,4,437.0,4,20,349.6,1398.4,10,610,1,1,0,5,4,4,12,3,Short,104,Mobile,New User,Paid Search,Books,Wallet,Autumn
5990,2024-07-06,1,1,2,9,5,560.82,4,0,0.0,0.0,12,689,0,0,0,4,0,5,7,2,Short,120,Mobile,Returning User,Email,Beauty,COD,Summer
8990,2024-02-26,0,1,5,551,1,789.99,1,0,0.0,789.99,24,121,1,1,0,4,11,0,2,3,Very Short,176,Desktop,Returning User,Direct,Clothing,Credit Card,Autumn
1574,2024-04-29,1,0,5,819,3,837.27,2,10,167.45,0.0,10,415,0,0,0,4,0,4,4,1,Very Short,152,Mobile,New User,Direct,Sports,Wallet,Spring
8723,2024-06-30,1,0,4,657,3,855.27,2,15,256.58,0.0,1,541,1,0,1,4,0,4,6,2,Short,33,Mobile,New User,Referral,Sports,Wallet,Summer
8447,2024-02-07,1,1,2,604,3,1140.72,3,0,0.0,0.0,1,449,1,0,1,4,0,3,2,3,Very Short,106,Mobile,Returning User,Email,Sports,Net Banking,Autumn
3490,2024-03-24,0,1,2,462,2,1434.14,3,0,0.0,0.0,17,702,1,0,1,4,0,4,3,1,Short,196,Desktop,Returning User,Email,Home & Kitchen,Wallet,Spring
6684,2024-03-14,0,0,2,105,6,1937.8,4,0,0.0,0.0,19,892,0,0,0,4,0,3,3,1,Short,17,Desktop,New User,Email,Toys,Net Banking,Spring
2486,2024-12-21,0,1,3,504,2,986.19,1,0,0.0,986.19,15,1728,1,1,0,1,30,0,12,3,Very Long,25,Desktop,Returning User,Social Media,Home & Kitchen,Credit Card,Autumn
7822,2024-05-26,0,1,5,341,3,450.96,4,20,360.77,0.0,11,583,1,0,1,4,0,1,5,1,Short,99,Desktop,Returning User,Direct,Sports,Debit Card,Spring
7304,2024-11-16,1,0,3,98,1,384.67,4,5,76.93,0.0,10,1627,1,0,1,4,0,3,11,0,Very Long,135,Mobile,New User,Social Media,Clothing,Net Banking,Winter
4190,2024-07-20,0,0,1,250,5,464.23,4,20,371.38,1485.54,2,769,1,1,0,5,49,4,7,2,Short,170,Desktop,New User,Paid Search,Beauty,Wallet,Summer
1611,2024-07-03,0,1,0,621,7,829.96,1,20,165.99,0.0,1,36,1,0,1,4,0,4,7,2,Very Short,32,Desktop,Returning User,Organic Search,Grocery,Wallet,Summer
9735,2024-12-08,2,1,1,733,0,344.48,3,30,310.03,0.0,14,1518,0,0,0,4,0,2,12,3,Very Long,82,Tablet,Returning User,Paid Search,Electronics,UPI,Autumn
5010,2024-09-09,0,0,4,277,2,1113.7,1,5,55.68,1058.02,18,819,1,1,0,1,26,1,9,0,Short,86,Desktop,New User,Referral,Home & Kitchen,Debit Card,Winter
9037,2024-03-28,0,1,4,626,1,601.67,2,10,120.33,1083.01,8,159,1,1,0,5,42,4,3,1,Very Short,7,Desktop,Returning User,Referral,Clothing,Wallet,Spring
7100,2024-04-12,1,1,3,895,6,420.59,2,0,0.0,0.0,1,1736,1,0,1,4,0,5,4,1,Very Long,3,Mobile,Returning User,Social Media,Toys,COD,Spring
